Model,Scenario,Region,Variable,Unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Notes
AIM/CGE,SSP3-Baseline,World,GDP|PPP,billion US$2005/yr,54728.116,64812.719,97447.997,130402.000,154577.000,173654.000,190084.000,207896.000,226734.000,247081.000,270265.000,
GCAM4,SSP4-Baseline,World,GDP|PPP,billion US$2005/yr,56713.859,66937.023,99822.558,141254.112,182424.146,219113.777,251626.164,281788.384,307379.068,330347.615,352091.462,
IMAGE,SSP1-Baseline,World,GDP|PPP,billion US$2005/yr,57407.879,68461.883,101815.297,155854.797,223195.500,291301.406,356291.406,419291.188,475419.188,524875.813,565389.625,
MESSAGE-GLOBIOM,SSP2-Baseline,World,GDP|PPP,billion US$2005/yr,56532.800,67528.800,101244.500,143069.700,185954.600,231300.200,280515.400,336848.500,398498.200,465846.500,539332.400,
REMIND-MAGPIE,SSP5-Baseline,World,GDP|PPP,billion US$2005/yr,56690.000,67570.000,101900.000,165800.000,260200.000,364700.000,478300.000,605800.000,740600.000,882300.000,1031000.000,
" © SSP Public Database (Version 2.0) https://tntcat.iiasa.ac.at/SspDb 
 generated: 2019-06-18 12:45:50",,,,,,,,,,,,,,,,
For recommended citation please follow this link: https://tntcat.iiasa.ac.at/SspDb/dsd?Action=htmlpage&page=citation,,,,,,,,,,,,,,,,
